GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALXZE001,NAME_M,ALXZM001
"G4800990","2015-2019","TX",,,"Texas","48","Coryell County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48099",,,"Coryell County, Texas",59635,"Coryell County, Texas",2812
"G4801010","2015-2019","TX",,,"Texas","48","Cottle County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48101",,,"Cottle County, Texas",39706,"Cottle County, Texas",9611
"G4801030","2015-2019","TX",,,"Texas","48","Crane County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48103",,,"Crane County, Texas",72652,"Crane County, Texas",9901
"G4801050","2015-2019","TX",,,"Texas","48","Crockett County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48105",,,"Crockett County, Texas",57021,"Crockett County, Texas",13841
"G4801070","2015-2019","TX",,,"Texas","48","Crosby County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48107",,,"Crosby County, Texas",50797,"Crosby County, Texas",5178
"G4801090","2015-2019","TX",,,"Texas","48","Culberson County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48109",,,"Culberson County, Texas",43854,"Culberson County, Texas",15499
"G4801110","2015-2019","TX",,,"Texas","48","Dallam County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48111",,,"Dallam County, Texas",69018,"Dallam County, Texas",9675
"G4801130","2015-2019","TX",,,"Texas","48","Dallas County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48113",,,"Dallas County, Texas",67159,"Dallas County, Texas",709
"G4801150","2015-2019","TX",,,"Texas","48","Dawson County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48115",,,"Dawson County, Texas",54596,"Dawson County, Texas",5657
"G4801170","2015-2019","TX",,,"Texas","48","Deaf Smith County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48117",,,"Deaf Smith County, Texas",55694,"Deaf Smith County, Texas",5255
"G4801190","2015-2019","TX",,,"Texas","48","Delta County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48119",,,"Delta County, Texas",61889,"Delta County, Texas",9797
"G4801210","2015-2019","TX",,,"Texas","48","Denton County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48121",,,"Denton County, Texas",107016,"Denton County, Texas",1261
"G4801230","2015-2019","TX",,,"Texas","48","DeWitt County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48123",,,"DeWitt County, Texas",70672,"DeWitt County, Texas",5059
"G4801250","2015-2019","TX",,,"Texas","48","Dickens County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48125",,,"Dickens County, Texas",60625,"Dickens County, Texas",7955
"G4801270","2015-2019","TX",,,"Texas","48","Dimmit County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48127",,,"Dimmit County, Texas",31373,"Dimmit County, Texas",9023
"G4801290","2015-2019","TX",,,"Texas","48","Donley County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48129",,,"Donley County, Texas",53125,"Donley County, Texas",4891
"G4801310","2015-2019","TX",,,"Texas","48","Duval County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48131",,,"Duval County, Texas",51929,"Duval County, Texas",7526
"G4801330","2015-2019","TX",,,"Texas","48","Eastland County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48133",,,"Eastland County, Texas",49944,"Eastland County, Texas",8465
"G4801350","2015-2019","TX",,,"Texas","48","Ector County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48135",,,"Ector County, Texas",73461,"Ector County, Texas",2981
"G4801370","2015-2019","TX",,,"Texas","48","Edwards County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48137",,,"Edwards County, Texas",55250,"Edwards County, Texas",11413
"G4801390","2015-2019","TX",,,"Texas","48","Ellis County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48139",,,"Ellis County, Texas",86150,"Ellis County, Texas",1825
"G4801410","2015-2019","TX",,,"Texas","48","El Paso County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48141",,,"El Paso County, Texas",52412,"El Paso County, Texas",799
"G4801430","2015-2019","TX",,,"Texas","48","Erath County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48143",,,"Erath County, Texas",74085,"Erath County, Texas",4065
"G4801450","2015-2019","TX",,,"Texas","48","Falls County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48145",,,"Falls County, Texas",51699,"Falls County, Texas",9625
"G4801470","2015-2019","TX",,,"Texas","48","Fannin County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48147",,,"Fannin County, Texas",68540,"Fannin County, Texas",3715
"G4801490","2015-2019","TX",,,"Texas","48","Fayette County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48149",,,"Fayette County, Texas",72565,"Fayette County, Texas",4085
