GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALUCE001,ALUCE002,ALUCE003,ALUCE004,ALUCE005,ALUCE006,ALUCE007,ALUCE008,ALUCE009,ALUCE010,ALUKE001,ALUKE002,ALUKE003,ALUKE004,ALUKE005,ALUKE006,ALUKE007,ALUKE008,ALUKE009,ALUKE010,ALUKE011,ALUKE012,ALUKE013,ALUKE014,ALUKE015,ALUKE016,ALUKE017,ALUKE018,ALUKE019,ALUKE020,ALUKE021,NAME_M,ALUCM001,ALUCM002,ALUCM003,ALUCM004,ALUCM005,ALUCM006,ALUCM007,ALUCM008,ALUCM009,ALUCM010,ALUKM001,ALUKM002,ALUKM003,ALUKM004,ALUKM005,ALUKM006,ALUKM007,ALUKM008,ALUKM009,ALUKM010,ALUKM011,ALUKM012,ALUKM013,ALUKM014,ALUKM015,ALUKM016,ALUKM017,ALUKM018,ALUKM019,ALUKM020,ALUKM021
"G0100670","2015-2019","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",17133,12118,4565,30,68,17,134,201,32,169,17133,16684,11851,4549,30,68,17,0,169,0,169,449,267,16,0,0,0,134,32,32,0,"Henry County, Alabama",0,116,60,38,40,34,111,75,28,67,0,0,19,53,38,40,34,19,67,19,67,0,116,31,19,19,19,111,28,28,19
"G0100690","2015-2019","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",104702,72344,28157,271,930,63,634,2303,175,2128,104702,101223,69580,28021,262,909,45,296,2110,75,2035,3479,2764,136,9,21,18,338,193,100,93,"Houston County, Alabama",0,256,182,71,73,46,253,232,68,244,0,0,224,179,71,71,36,225,228,54,229,0,137,46,7,16,20,119,59,43,42
"G0100710","2015-2019","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",51852,47456,1809,629,232,55,262,1409,27,1382,51852,50333,46277,1775,582,232,55,43,1369,5,1364,1519,1179,34,47,0,0,219,40,22,18,"Jackson County, Alabama",0,170,170,192,40,62,134,199,37,209,0,0,49,153,179,40,62,50,208,9,209,0,171,50,75,28,28,131,45,36,29
"G0100730","2015-2019","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",659680,341768,283311,1443,10433,201,11610,10914,1272,9642,659680,634123,329108,282363,1052,10335,201,1316,9748,457,9291,25557,12660,948,391,98,0,10294,1166,815,351,"Jefferson County, Alabama",0,1222,900,398,518,48,1137,1006,324,951,0,0,237,864,289,504,48,518,1021,296,930,0,1220,363,224,82,28,1167,298,261,179
"G0100750","2015-2019","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",13885,12154,1479,3,17,0,121,111,0,111,13885,13656,11940,1479,3,17,0,106,111,0,111,229,214,0,0,0,0,15,0,0,0,"Lamar County, Alabama",0,30,134,6,20,19,124,83,19,83,0,0,25,134,6,20,19,121,83,19,83,0,22,19,19,19,19,22,19,19,19
"G0100770","2015-2019","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",92556,80436,9596,363,593,62,225,1281,118,1163,92556,90080,78414,9388,363,593,62,104,1156,10,1146,2476,2022,208,0,0,0,121,125,108,17,"Lauderdale County, Alabama",0,279,308,158,72,52,138,328,128,327,0,0,54,232,158,72,52,91,325,14,324,0,263,206,28,28,28,90,129,128,21
"G0100790","2015-2019","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",33058,25799,3502,1852,65,27,98,1715,147,1568,33058,32334,25285,3496,1852,65,27,0,1609,46,1563,724,514,6,0,0,0,98,106,101,5,"Lawrence County, Alabama",0,186,234,400,73,32,147,479,153,441,0,0,52,235,400,73,32,25,444,52,442,0,181,11,25,25,25,147,146,145,13
"G0100810","2015-2019","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081",,,"Lee County, Alabama",161152,113359,36920,296,6899,23,643,3012,205,2807,161152,155227,108684,36623,296,6626,0,273,2725,61,2664,5925,4675,297,0,273,23,370,287,144,143,"Lee County, Alabama",0,450,540,146,279,35,329,605,139,607,0,0,238,492,146,212,28,233,596,62,589,0,369,222,28,181,35,190,160,128,114
"G0100830","2015-2019","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083",,,"Limestone County, Alabama",94727,76003,13028,723,1309,78,1859,1727,93,1634,94727,89027,72508,12880,648,1301,54,21,1615,29,1586,5700,3495,148,75,8,24,1838,112,64,48,"Limestone County, Alabama",0,588,282,203,237,84,544,384,88,370,0,0,36,251,169,238,68,33,367,36,360,0,592,139,85,14,40,544,85,65,52
"G0100850","2015-2019","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085",,,"Lowndes County, Alabama",10079,2497,7522,13,0,0,0,47,0,47,10079,10029,2485,7495,13,0,0,0,36,0,36,50,12,27,0,0,0,0,11,0,11,"Lowndes County, Alabama",0,19,46,21,19,19,19,40,19,40,0,37,19,55,21,19,19,19,31,19,31,37,19,31,19,19,19,19,17,19,17
