GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,BLOCKA,CDA,AREANAME,C19001
"G1900930","1970","Iowa","19","Ida","093",,,,,,,,,"Ida",2941500
"G1900950","1970","Iowa","19","Iowa","095",,,,,,,,,"Iowa",3284750
"G1900970","1970","Iowa","19","Jackson","097",,,,,,,,,"Jackson",4370600
"G1900990","1970","Iowa","19","Jasper","099",,,,,,,,,"Jasper",8888200
"G1901010","1970","Iowa","19","Jefferson","101",,,,,,,,,"Jefferson",5185150
"G1901030","1970","Iowa","19","Johnson","103",,,,,,,,,"Johnson",40850400
"G1901050","1970","Iowa","19","Jones","105",,,,,,,,,"Jones",3836950
"G1901070","1970","Iowa","19","Keokuk","107",,,,,,,,,"Keokuk",2486000
"G1901090","1970","Iowa","19","Kossuth","109",,,,,,,,,"Kossuth",4618150
"G1901110","1970","Iowa","19","Lee","111",,,,,"2200",,,,"Lee",11828050
"G1901130","1970","Iowa","19","Linn","113",,,,,"1360",,,,"Linn",58353250
"G1901150","1970","Iowa","19","Louisa","115",,,,,,,,,"Louisa",2320500
"G1901170","1970","Iowa","19","Lucas","117",,,,,,,,,"Lucas",3343050
"G1901190","1970","Iowa","19","Lyon","119",,,,,,,,,"Lyon",1976050
"G1901210","1970","Iowa","19","Madison","121",,,,,,,,,"Madison",2785850
"G1901230","1970","Iowa","19","Mahaska","123",,,,,,,,,"Mahaska",5082150
"G1901250","1970","Iowa","19","Marion","125",,,,,,,,,"Marion",7491900
"G1901270","1970","Iowa","19","Marshall","127",,,,,,,,,"Marshall",12439050
"G1901290","1970","Iowa","19","Mills","129",,,,,,,,,"Mills",2991300
"G1901310","1970","Iowa","19","Mitchell","131",,,,,,,,,"Mitchell",3088250
"G1901330","1970","Iowa","19","Monona","133",,,,,,,,,"Monona",2759150
"G1901350","1970","Iowa","19","Monroe","135",,,,,,,,,"Monroe",1994800
"G1901370","1970","Iowa","19","Montgomery","137",,,,,,,,,"Montgomery",3295200
"G1901390","1970","Iowa","19","Muscatine","139",,,,,,,,,"Muscatine",10016250
"G1901410","1970","Iowa","19","O Brien","141",,,,,,,,,"O>Brien",3832050
"G1901430","1970","Iowa","19","Osceola","143",,,,,,,,,"Osceola",2226450
"G1901450","1970","Iowa","19","Page","145",,,,,,,,,"Page",5716800
"G1901470","1970","Iowa","19","Palo Alto","147",,,,,,,,,"Palo Alto",3848150
"G1901490","1970","Iowa","19","Plymouth","149",,,,,,,,,"Plymouth",5285000
"G1901510","1970","Iowa","19","Pocahontas","151",,,,,"1360",,,,"Pocahontas",2816200
"G1901530","1970","Iowa","19","Polk","153",,,,,"2120",,,,"Polk",123167100
"G1901550","1970","Iowa","19","Pottawattamie","155",,,,,"5920",,,,"Pottawattamie",20829250
"G1901570","1970","Iowa","19","Poweshiek","157",,,,,,,,,"Poweshiek",7216650
"G1901590","1970","Iowa","19","Ringgold","159",,,,,,,,,"Ringgold",1642350
"G1901610","1970","Iowa","19","Sac","161",,,,,"5920",,,,"Sac",3547700
"G1901630","1970","Iowa","19","Scott","163",,,,,"1960",,,,"Scott",47779350
"G1901650","1970","Iowa","19","Shelby","165",,,,,,,,,"Shelby",2431400
"G1901670","1970","Iowa","19","Sioux","167",,,,,,,,,"Sioux",5903650
"G1901690","1970","Iowa","19","Story","169",,,,,,,,,"Story",33131250
"G1901710","1970","Iowa","19","Tama","171",,,,,,,,,"Tama",4229550
"G1901730","1970","Iowa","19","Taylor","173",,,,,,,,,"Taylor",1643800
"G1901750","1970","Iowa","19","Union","175",,,,,,,,,"Union",3407250
"G1901770","1970","Iowa","19","Van Buren","177",,,,,,,,,"Van Buren",1713200
"G1901790","1970","Iowa","19","Wapello","179",,,,,,,,,"Wapello",10692350
"G1901810","1970","Iowa","19","Warren","181",,,,,,,,,"Warren",5057600
"G1901830","1970","Iowa","19","Washington","183",,,,,,,,,"Washington",4747650
"G1901850","1970","Iowa","19","Wayne","185",,,,,,,,,"Wayne",1380300
"G1901870","1970","Iowa","19","Webster","187",,,,,,,,,"Webster",13928400
"G1901890","1970","Iowa","19","Winnebago","189",,,,,,,,,"Winnebago",3445200
"G1901910","1970","Iowa","19","Winneshiek","191",,,,,"1960",,,,"Winneshiek",6302650
"G1901930","1970","Iowa","19","Woodbury","193",,,,,"7720",,,,"Woodbury",33298650
"G1901950","1970","Iowa","19","Worth","195",,,,,,,,,"Worth",2382500
"G1901970","1970","Iowa","19","Wright","197",,,,,"7720",,,,"Wright",4304900
"G2000010","1970","Kansas","20","Allen","001",,,,,,,,,"Allen",3864750
"G2000030","1970","Kansas","20","Anderson","003",,,,,,,,,"Anderson",1554600
"G2000050","1970","Kansas","20","Atchison","005",,,,,,,,,"Atchison",6374150
"G2000070","1970","Kansas","20","Barber","007",,,,,,,,,"Barber",2181650
"G2000090","1970","Kansas","20","Barton","009",,,,,,,,,"Barton",8358550
"G2000110","1970","Kansas","20","Bourbon","011",,,,,,,,,"Bourbon",4118000
"G2000130","1970","Kansas","20","Brown","013",,,,,,,,,"Brown",2943400
"G2000150","1970","Kansas","20","Butler","015",,,,,"9040",,,,"Butler",8687700
"G2000170","1970","Kansas","20","Chase","017",,,,,,,,,"Chase",761250
"G2000190","1970","Kansas","20","Chautauqua","019",,,,,,,,,"Chautauqua",1887400
"G2000210","1970","Kansas","20","Cherokee","021",,,,,,,,,"Cherokee",4368850
"G2000230","1970","Kansas","20","Cheyenne","023",,,,,,,,,"Cheyenne",1350650
"G2000250","1970","Kansas","20","Clark","025",,,,,,,,,"Clark",927700
"G2000270","1970","Kansas","20","Clay","027",,,,,,,,,"Clay",3011850
"G2000290","1970","Kansas","20","Cloud","029",,,,,,,,,"Cloud",4672050
"G2000310","1970","Kansas","20","Coffey","031",,,,,,,,,"Coffey",1580100
"G2000330","1970","Kansas","20","Comanche","033",,,,,,,,,"Comanche",705200
"G2000350","1970","Kansas","20","Cowley","035",,,,,,,,,"Cowley",11115450
"G2000370","1970","Kansas","20","Crawford","037",,,,,,,,,"Crawford",13906700
"G2000390","1970","Kansas","20","Decatur","039",,,,,,,,,"Decatur",1190000
"G2000410","1970","Kansas","20","Dickinson","041",,,,,,,,,"Dickinson",5200350
"G2000430","1970","Kansas","20","Doniphan","043",,,,,,,,,"Doniphan",2240100
"G2000450","1970","Kansas","20","Douglas","045",,,,,,,,,"Douglas",32964650
"G2000470","1970","Kansas","20","Edwards","047",,,,,,,,,"Edwards",1539050
"G2000490","1970","Kansas","20","Elk","049",,,,,,,,,"Elk",1117100
"G2000510","1970","Kansas","20","Ellis","051",,,,,,,,,"Ellis",9884300
"G2000530","1970","Kansas","20","Ellsworth","053",,,,,,,,,"Ellsworth",1892550
"G2000550","1970","Kansas","20","Finney","055",,,,,,,,,"Finney",4342600
"G2000570","1970","Kansas","20","Ford","057",,,,,,,,,"Ford",7217350
"G2000590","1970","Kansas","20","Franklin","059",,,,,,,,,"Franklin",5373550
"G2000610","1970","Kansas","20","Geary","061",,,,,,,,,"Geary",15540350
"G2000630","1970","Kansas","20","Gove","063",,,,,,,,,"Gove",717950
"G2000650","1970","Kansas","20","Graham","065",,,,,,,,,"Graham",1220150
"G2000670","1970","Kansas","20","Grant","067",,,,,,,,,"Grant",1181400
"G2000690","1970","Kansas","20","Gray","069",,,,,,,,,"Gray",1491850
"G2000710","1970","Kansas","20","Greeley","071",,,,,,,,,"Greeley",381400
"G2000730","1970","Kansas","20","Greenwood","073",,,,,,,,,"Greenwood",2230650
"G2000750","1970","Kansas","20","Hamilton","075",,,,,,,,,"Hamilton",687150
"G2000770","1970","Kansas","20","Harper","077",,,,,,,,,"Harper",2593100
"G2000790","1970","Kansas","20","Harvey","079",,,,,,,,,"Harvey",8362450
"G2000810","1970","Kansas","20","Haskell","081",,,,,,,,,"Haskell",591250
"G2000830","1970","Kansas","20","Hodgeman","083",,,,,,,,,"Hodgeman",674650
"G2000850","1970","Kansas","20","Jackson","085",,,,,,,,,"Jackson",2055000
"G2000870","1970","Kansas","20","Jefferson","087",,,,,,,,,"Jefferson",2187100
"G2000890","1970","Kansas","20","Jewell","089",,,,,"9040",,,,"Jewell",1916500
"G2000910","1970","Kansas","20","Johnson","091",,,,,"3760",,,,"Johnson",58137650
"G2000930","1970","Kansas","20","Kearny","093",,,,,,,,,"Kearny",582900
"G2000950","1970","Kansas","20","Kingman","095",,,,,,,,,"Kingman",2052650
"G2000970","1970","Kansas","20","Kiowa","097",,,,,,,,,"Kiowa",1256400
"G2000990","1970","Kansas","20","Labette","099",,,,,,,,,"Labette",6473600
"G2001010","1970","Kansas","20","Lane","101",,,,,,,,,"Lane",566100
"G2001030","1970","Kansas","20","Leavenworth","103",,,,,,,,,"Leavenworth",17982650
"G2001050","1970","Kansas","20","Lincoln","105",,,,,,,,,"Lincoln",1041700
"G2001070","1970","Kansas","20","Linn","107",,,,,,,,,"Linn",1596800
"G2001090","1970","Kansas","20","Logan","109",,,,,,,,,"Logan",753300
"G2001110","1970","Kansas","20","Lyon","111",,,,,,,,,"Lyon",17106450
"G2001130","1970","Kansas","20","McPherson","113",,,,,,,,,"Mc Pherson",6490800
"G2001150","1970","Kansas","20","Marion","115",,,,,,,,,"Marion",3123400
"G2001170","1970","Kansas","20","Marshall","117",,,,,,,,,"Marshall",3481450
"G2001190","1970","Kansas","20","Meade","119",,,,,,,,,"Meade",1078250
"G2001210","1970","Kansas","20","Miami","121",,,,,,,,,"Miami",4327000
"G2001230","1970","Kansas","20","Mitchell","123",,,,,,,,,"Mitchell",2479100
"G2001250","1970","Kansas","20","Montgomery","125",,,,,,,,,"Montgomery",10241250
"G2001270","1970","Kansas","20","Morris","127",,,,,,,,,"Morris",2100850
"G2001290","1970","Kansas","20","Morton","129",,,,,,,,,"Morton",1070700
"G2001310","1970","Kansas","20","Nemaha","131",,,,,,,,,"Nemaha",2794300
"G2001330","1970","Kansas","20","Neosho","133",,,,,,,,,"Neosho",4512100
"G2001350","1970","Kansas","20","Ness","135",,,,,,,,,"Ness",971400
"G2001370","1970","Kansas","20","Norton","137",,,,,,,,,"Norton",1985550
"G2001390","1970","Kansas","20","Osage","139",,,,,,,,,"Osage",2425500
"G2001410","1970","Kansas","20","Osborne","141",,,,,,,,,"Osborne",1879100
"G2001430","1970","Kansas","20","Ottawa","143",,,,,,,,,"Ottawa",1311150
"G2001450","1970","Kansas","20","Pawnee","145",,,,,,,,,"Pawnee",3143600
"G2001470","1970","Kansas","20","Phillips","147",,,,,,,,,"Phillips",1433200
"G2001490","1970","Kansas","20","Pottawatomie","149",,,,,,,,,"Pottawatomie",2578050
"G2001510","1970","Kansas","20","Pratt","151",,,,,,,,,"Pratt",2890000
"G2001530","1970","Kansas","20","Rawlins","153",,,,,,,,,"Rawlins",1028250
"G2001550","1970","Kansas","20","Reno","155",,,,,,,,,"Reno",18445650
"G2001570","1970","Kansas","20","Republic","157",,,,,,,,,"Republic",1883000
"G2001590","1970","Kansas","20","Rice","159",,,,,,,,,"Rice",3269400
"G2001610","1970","Kansas","20","Riley","161",,,,,,,,,"Riley",45172450
"G2001630","1970","Kansas","20","Rooks","163",,,,,,,,,"Rooks",1296650
"G2001650","1970","Kansas","20","Rush","165",,,,,,,,,"Rush",1418500
"G2001670","1970","Kansas","20","Russell","167",,,,,,,,,"Russell",3012000
"G2001690","1970","Kansas","20","Saline","169",,,,,,,,,"Saline",13376850
"G2001710","1970","Kansas","20","Scott","171",,,,,"3760",,,,"Scott",1421500
"G2001730","1970","Kansas","20","Sedgwick","173",,,,,"9040",,,,"Sedgwick",122908450
"G2001750","1970","Kansas","20","Seward","175",,,,,"9040",,,,"Seward",4462450
"G2001770","1970","Kansas","20","Shawnee","177",,,,,"8440",,,,"Shawnee",59343350
"G2001790","1970","Kansas","20","Sheridan","179",,,,,,,,,"Sheridan",683200
"G2001810","1970","Kansas","20","Sherman","181",,,,,,,,,"Sherman",1895900
"G2001830","1970","Kansas","20","Smith","183",,,,,,,,,"Smith",1672550
"G2001850","1970","Kansas","20","Stafford","185",,,,,,,,,"Stafford",2222950
"G2001870","1970","Kansas","20","Stanton","187",,,,,,,,,"Stanton",503500
"G2001890","1970","Kansas","20","Stevens","189",,,,,,,,,"Stevens",923950
"G2001910","1970","Kansas","20","Sumner","191",,,,,,,,,"Sumner",4666050
"G2001930","1970","Kansas","20","Thomas","193",,,,,,,,,"Thomas",2613650
"G2001950","1970","Kansas","20","Trego","195",,,,,,,,,"Trego",999400
"G2001970","1970","Kansas","20","Wabaunsee","197",,,,,,,,,"Wabaunsee",1119350
"G2001990","1970","Kansas","20","Wallace","199",,,,,,,,,"Wallace",329100
"G2002010","1970","Kansas","20","Washington","201",,,,,,,,,"Washington",1761100
"G2002030","1970","Kansas","20","Wichita","203",,,,,,,,,"Wichita",768150
"G2002050","1970","Kansas","20","Wilson","205",,,,,,,,,"Wilson",4152900
"G2002070","1970","Kansas","20","Woodson","207",,,,,"8440",,,,"Woodson",775750
"G2002090","1970","Kansas","20","Wyandotte","209",,,,,"3760",,,,"Wyandotte",56478100
"G2100010","1970","Kentucky","21","Adair","001",,,,,,,,,"Adair",1130100
"G2100030","1970","Kentucky","21","Allen","003",,,,,,,,,"Allen",1362450
"G2100050","1970","Kentucky","21","Anderson","005",,,,,,,,,"Anderson",1370100
"G2100070","1970","Kentucky","21","Ballard","007",,,,,,,,,"Ballard",1647150
"G2100090","1970","Kentucky","21","Barren","009",,,,,,,,,"Barren",3666650
"G2100110","1970","Kentucky","21","Bath","011",,,,,,,,,"Bath",977750
"G2100130","1970","Kentucky","21","Bell","013",,,,,,,,,"Bell",3162650
"G2100150","1970","Kentucky","21","Boone","015",,,,,"1640",,,,"Boone",4454700
"G2100170","1970","Kentucky","21","Bourbon","017",,,,,"1640",,,,"Bourbon",4733200
"G2100190","1970","Kentucky","21","Boyd","019",,,,,"3400",,,,"Boyd",9263600
"G2100210","1970","Kentucky","21","Boyle","021",,,,,,,,,"Boyle",6187300
"G2100230","1970","Kentucky","21","Bracken","023",,,,,,,,,"Bracken",1016850
"G2100250","1970","Kentucky","21","Breathitt","025",,,,,,,,,"Breathitt",1020550
"G2100270","1970","Kentucky","21","Breckinridge","027",,,,,,,,,"Breckinridge",2177950
"G2100290","1970","Kentucky","21","Bullitt","029",,,,,,,,,"Bullitt",2438600
"G2100310","1970","Kentucky","21","Butler","031",,,,,,,,,"Butler",616350
"G2100330","1970","Kentucky","21","Caldwell","033",,,,,,,,,"Caldwell",2183600
"G2100350","1970","Kentucky","21","Calloway","035",,,,,"3400",,,,"Calloway",8687850
"G2100370","1970","Kentucky","21","Campbell","037",,,,,"1640",,,,"Campbell",19686750
"G2100390","1970","Kentucky","21","Carlisle","039",,,,,,,,,"Carlisle",543550
"G2100410","1970","Kentucky","21","Carroll","041",,,,,,,,,"Carroll",1753250
"G2100430","1970","Kentucky","21","Carter","043",,,,,,,,,"Carter",1716950
"G2100450","1970","Kentucky","21","Casey","045",,,,,,,,,"Casey",941550
"G2100470","1970","Kentucky","21","Christian","047",,,,,,,,,"Christian",30646400
"G2100490","1970","Kentucky","21","Clark","049",,,,,,,,,"Clark",3992900
"G2100510","1970","Kentucky","21","Clay","051",,,,,,,,,"Clay",785600
"G2100530","1970","Kentucky","21","Clinton","053",,,,,,,,,"Clinton",1099100
"G2100550","1970","Kentucky","21","Crittenden","055",,,,,,,,,"Crittenden",1044300
"G2100570","1970","Kentucky","21","Cumberland","057",,,,,"1640",,,,"Cumberland",624600
"G2100590","1970","Kentucky","21","Daviess","059",,,,,"5990",,,,"Daviess",18319900
"G2100610","1970","Kentucky","21","Edmonson","061",,,,,,,,,"Edmonson",686350
"G2100630","1970","Kentucky","21","Elliott","063",,,,,,,,,"Elliott",366500
"G2100650","1970","Kentucky","21","Estill","065",,,,,"5990",,,,"Estill",1157400
"G2100670","1970","Kentucky","21","Fayette","067",,,,,"4280",,,,"Fayette",70853450
"G2100690","1970","Kentucky","21","Fleming","069",,,,,,,,,"Fleming",1584050
"G2100710","1970","Kentucky","21","Floyd","071",,,,,,,,,"Floyd",2573050
"G2100730","1970","Kentucky","21","Franklin","073",,,,,,,,,"Franklin",9685150
"G2100750","1970","Kentucky","21","Fulton","075",,,,,,,,,"Fulton",2341200
"G2100770","1970","Kentucky","21","Gallatin","077",,,,,,,,,"Gallatin",557550
"G2100790","1970","Kentucky","21","Garrard","079",,,,,,,,,"Garrard",1123600
"G2100810","1970","Kentucky","21","Grant","081",,,,,,,,,"Grant",1258100
"G2100830","1970","Kentucky","21","Graves","083",,,,,,,,,"Graves",4714250
"G2100850","1970","Kentucky","21","Grayson","085",,,,,,,,,"Grayson",1632200
"G2100870","1970","Kentucky","21","Green","087",,,,,,,,,"Green",887900
"G2100890","1970","Kentucky","21","Greenup","089",,,,,,,,,"Greenup",2948200
"G2100910","1970","Kentucky","21","Hancock","091",,,,,,,,,"Hancock",919650
"G2100930","1970","Kentucky","21","Hardin","093",,,,,,,,,"Hardin",73972950
"G2100950","1970","Kentucky","21","Harlan","095",,,,,,,,,"Harlan",4621900
"G2100970","1970","Kentucky","21","Harrison","097",,,,,,,,,"Harrison",2521200
"G2100990","1970","Kentucky","21","Hart","099",,,,,"4280",,,,"Hart",1697000
"G2101010","1970","Kentucky","21","Henderson","101",,,,,"2440",,,,"Henderson",5938900
"G2101030","1970","Kentucky","21","Henry","103",,,,,,,,,"Henry",1909500
"G2101050","1970","Kentucky","21","Hickman","105",,,,,,,,,"Hickman",925900
"G2101070","1970","Kentucky","21","Hopkins","107",,,,,,,,,"Hopkins",4973550
"G2101090","1970","Kentucky","21","Jackson","109",,,,,"2440",,,,"Jackson",635400
"G2101110","1970","Kentucky","21","Jefferson","111",,,,,"4520",,,,"Jefferson",219662100
"G2101130","1970","Kentucky","21","Jessamine","113",,,,,,,,,"Jessamine",3642250
"G2101150","1970","Kentucky","21","Johnson","115",,,,,"4520",,,,"Johnson",1838850
"G2101170","1970","Kentucky","21","Kenton","117",,,,,"1640",,,,"Kenton",34747700
"G2101190","1970","Kentucky","21","Knott","119",,,,,,,,,"Knott",766900
"G2101210","1970","Kentucky","21","Knox","121",,,,,,,,,"Knox",2560750
"G2101230","1970","Kentucky","21","Larue","123",,,,,,,,,"Larue",1112100
"G2101250","1970","Kentucky","21","Laurel","125",,,,,,,,,"Laurel",2502650
"G2101270","1970","Kentucky","21","Lawrence","127",,,,,,,,,"Lawrence",854650
"G2101290","1970","Kentucky","21","Lee","129",,,,,,,,,"Lee",585750
"G2101310","1970","Kentucky","21","Leslie","131",,,,,,,,,"Leslie",428200
"G2101330","1970","Kentucky","21","Letcher","133",,,,,,,,,"Letcher",1875300
"G2101350","1970","Kentucky","21","Lewis","135",,,,,,,,,"Lewis",1050250
"G2101370","1970","Kentucky","21","Lincoln","137",,,,,,,,,"Lincoln",1858250
"G2101390","1970","Kentucky","21","Livingston","139",,,,,,,,,"Livingston",1000100
"G2101410","1970","Kentucky","21","Logan","141",,,,,,,,,"Logan",2429750
"G2101430","1970","Kentucky","21","Lyon","143",,,,,,,,,"Lyon",703350
"G2101450","1970","Kentucky","21","McCracken","145",,,,,,,,,"Mc Cracken",12973650
"G2101470","1970","Kentucky","21","McCreary","147",,,,,,,,,"Mc Creary",763350
"G2101490","1970","Kentucky","21","McLean","149",,,,,,,,,"Mc Lean",960950
"G2101510","1970","Kentucky","21","Madison","151",,,,,,,,,"Madison",13625850
"G2101530","1970","Kentucky","21","Magoffin","153",,,,,,,,,"Magoffin",475700
"G2101550","1970","Kentucky","21","Marion","155",,,,,,,,,"Marion",2387200
"G2101570","1970","Kentucky","21","Marshall","157",,,,,,,,,"Marshall",2247300
"G2101590","1970","Kentucky","21","Martin","159",,,,,,,,,"Martin",605650
"G2101610","1970","Kentucky","21","Mason","161",,,,,,,,,"Mason",3621700
"G2101630","1970","Kentucky","21","Meade","163",,,,,,,,,"Meade",1798700
"G2101650","1970","Kentucky","21","Menifee","165",,,,,,,,,"Menifee",425200
"G2101670","1970","Kentucky","21","Mercer","167",,,,,,,,,"Mercer",3126000
"G2101690","1970","Kentucky","21","Metcalfe","169",,,,,,,,,"Metcalfe",805400
"G2101710","1970","Kentucky","21","Monroe","171",,,,,,,,,"Monroe",1114300
"G2101730","1970","Kentucky","21","Montgomery","173",,,,,,,,,"Montgomery",2241600
"G2101750","1970","Kentucky","21","Morgan","175",,,,,,,,,"Morgan",546550
"G2101770","1970","Kentucky","21","Muhlenberg","177",,,,,,,,,"Muhlenberg",3362050
"G2101790","1970","Kentucky","21","Nelson","179",,,,,,,,,"Nelson",3614450
"G2101810","1970","Kentucky","21","Nicholas","181",,,,,,,,,"Nicholas",967950
"G2101830","1970","Kentucky","21","Ohio","183",,,,,,,,,"Ohio",2003800
"G2101850","1970","Kentucky","21","Oldham","185",,,,,,,,,"Oldham",1541050
"G2101870","1970","Kentucky","21","Owen","187",,,,,,,,,"Owen",1273400
"G2101890","1970","Kentucky","21","Owsley","189",,,,,,,,,"Owsley",290600
"G2101910","1970","Kentucky","21","Pendleton","191",,,,,,,,,"Pendleton",1047100
"G2101930","1970","Kentucky","21","Perry","193",,,,,,,,,"Perry",2205550
"G2101950","1970","Kentucky","21","Pike","195",,,,,,,,,"Pike",4767900
"G2101970","1970","Kentucky","21","Powell","197",,,,,,,,,"Powell",563850
"G2101990","1970","Kentucky","21","Pulaski","199",,,,,,,,,"Pulaski",4895550
"G2102010","1970","Kentucky","21","Robertson","201",,,,,,,,,"Robertson",379450
"G2102030","1970","Kentucky","21","Rockcastle","203",,,,,,,,,"Rockcastle",725100
"G2102050","1970","Kentucky","21","Rowan","205",,,,,,,,,"Rowan",5835250
"G2102070","1970","Kentucky","21","Russell","207",,,,,,,,,"Russell",836650
"G2102090","1970","Kentucky","21","Scott","209",,,,,,,,,"Scott",4179200
"G2102110","1970","Kentucky","21","Shelby","211",,,,,,,,,"Shelby",3705500
"G2102130","1970","Kentucky","21","Simpson","213",,,,,,,,,"Simpson",2081200
"G2102150","1970","Kentucky","21","Spencer","215",,,,,,,,,"Spencer",678250
"G2102170","1970","Kentucky","21","Taylor","217",,,,,,,,,"Taylor",2606450
"G2102190","1970","Kentucky","21","Todd","219",,,,,,,,,"Todd",1419900
"G2102210","1970","Kentucky","21","Trigg","221",,,,,,,,,"Trigg",1125200
"G2102230","1970","Kentucky","21","Trimble","223",,,,,,,,,"Trimble",563350
"G2102250","1970","Kentucky","21","Union","225",,,,,,,,,"Union",3725800
"G2102270","1970","Kentucky","21","Warren","227",,,,,,,,,"Warren",17436000
"G2102290","1970","Kentucky","21","Washington","229",,,,,,,,,"Washington",1482000
"G2102310","1970","Kentucky","21","Wayne","231",,,,,,,,,"Wayne",951100
"G2102330","1970","Kentucky","21","Webster","233",,,,,,,,,"Webster",2281250
"G2102350","1970","Kentucky","21","Whitley","235",,,,,,,,,"Whitley",3443700
"G2102370","1970","Kentucky","21","Wolfe","237",,,,,,,,,"Wolfe",429500
"G2102390","1970","Kentucky","21","Woodford","239",,,,,"1640",,,,"Woodford",2795200
"G2200010","1970","Louisiana","22","Acadia","001",,,,,,,,,"Acadia",6904850
"G2200030","1970","Louisiana","22","Allen","003",,,,,,,,,"Allen",2377350
"G2200050","1970","Louisiana","22","Ascension","005",,,,,,,,,"Ascension",4324950
"G2200070","1970","Louisiana","22","Assumption","007",,,,,,,,,"Assumption",1391000
"G2200090","1970","Louisiana","22","Avoyelles","009",,,,,,,,,"Avoyelles",3398050
"G2200110","1970","Louisiana","22","Beauregard","011",,,,,,,,,"Beauregard",3286950
"G2200130","1970","Louisiana","22","Bienville","013",,,,,,,,,"Bienville",1846450
"G2200150","1970","Louisiana","22","Bossier","015",,,,,"7680",,,,"Bossier",8377400
"G2200170","1970","Louisiana","22","Caddo","017",,,,,"7680",,,,"Caddo",61650800
"G2200190","1970","Louisiana","22","Calcasieu","019",,,,,"3960",,,,"Calcasieu",27743950
"G2200210","1970","Louisiana","22","Caldwell","021",,,,,,,,,"Caldwell",1456000
"G2200230","1970","Louisiana","22","Cameron","023",,,,,,,,,"Cameron",1158700
"G2200250","1970","Louisiana","22","Catahoula","025",,,,,,,,,"Catahoula",1049100
"G2200270","1970","Louisiana","22","Claiborne","027",,,,,,,,,"Claiborne",2881200
"G2200290","1970","Louisiana","22","Concordia","029",,,,,,,,,"Concordia",2180550
"G2200310","1970","Louisiana","22","De Soto","031",,,,,"3960",,,,"De Soto",3404200
"G2200330","1970","Louisiana","22","East Baton Rouge","033",,,,,"0760",,,,"East Baton Rouge",79466000
"G2200350","1970","Louisiana","22","East Carroll","035",,,,,,,,,"East Carroll",1568100
"G2200370","1970","Louisiana","22","East Feliciana","037",,,,,,,,,"East Feliciana",1838050
"G2200390","1970","Louisiana","22","Evangeline","039",,,,,,,,,"Evangeline",2670500
"G2200410","1970","Louisiana","22","Franklin","041",,,,,,,,,"Franklin",3628850
"G2200430","1970","Louisiana","22","Grant","043",,,,,,,,,"Grant",1698850
"G2200450","1970","Louisiana","22","Iberia","045",,,,,,,,,"Iberia",6305850
"G2200470","1970","Louisiana","22","Iberville","047",,,,,,,,,"Iberville",3572750
"G2200490","1970","Louisiana","22","Jackson","049",,,,,"0760",,,,"Jackson",2861100
"G2200510","1970","Louisiana","22","Jefferson","051",,,,,"5560",,,,"Jefferson",70794200
"G2200530","1970","Louisiana","22","Jefferson Davis","053",,,,,"5560",,,,"Jefferson Davis",3832000
"G2200550","1970","Louisiana","22","Lafayette","055",,,,,"3880",,,,"Lafayette",21874550
"G2200570","1970","Louisiana","22","Lafourche","057",,,,,,,,,"Lafourche",8079250
"G2200590","1970","Louisiana","22","La Salle","059",,,,,,,,,"La Salle",1285550
"G2200610","1970","Louisiana","22","Lincoln","061",,,,,,,,,"Lincoln",12348100
"G2200630","1970","Louisiana","22","Livingston","063",,,,,,,,,"Livingston",2849350
"G2200650","1970","Louisiana","22","Madison","065",,,,,,,,,"Madison",2100400
"G2200670","1970","Louisiana","22","Morehouse","067",,,,,,,,,"Morehouse",3983350
"G2200690","1970","Louisiana","22","Natchitoches","069",,,,,"3880",,,,"Natchitoches",6786400
"G2200710","1970","Louisiana","22","Orleans","071",,,,,"5560",,,,"Orleans",240541650
"G2200730","1970","Louisiana","22","Ouachita","073",,,,,"5200",,,,"Ouachita",27499950
"G2200750","1970","Louisiana","22","Plaquemines","075",,,,,,,,,"Plaquemines",5874800
"G2200770","1970","Louisiana","22","Pointe Coupee","077",,,,,,,,,"Pointe Coupee",1497100
"G2200790","1970","Louisiana","22","Rapides","079",,,,,,,,,"Rapides",22230750
"G2200810","1970","Louisiana","22","Red River","081",,,,,,,,,"Red River",907250
"G2200830","1970","Louisiana","22","Richland","083",,,,,,,,,"Richland",2617250
"G2200850","1970","Louisiana","22","Sabine","085",,,,,"5200",,,,"Sabine",1849750
"G2200870","1970","Louisiana","22","St Bernard","087",,,,,"5560",,,,"St Bernard",4347900
"G2200890","1970","Louisiana","22","St Charles","089",,,,,,,,,"St Charles",4395350
"G2200910","1970","Louisiana","22","St Helena","091",,,,,,,,,"St Helena",692450
"G2200930","1970","Louisiana","22","St James","093",,,,,,,,,"St James",1667050
"G2200950","1970","Louisiana","22","St John The Baptist","095",,,,,,,,,"St John The Baptist",1933450
"G2200970","1970","Louisiana","22","St Landry","097",,,,,,,,,"St Landry",7941750
"G2200990","1970","Louisiana","22","St Martin","099",,,,,,,,,"St Martin",2354850
"G2201010","1970","Louisiana","22","St Mary","101",,,,,,,,,"St Mary",9218100
"G2201030","1970","Louisiana","22","St Tammany","103",,,,,"5560",,,,"St Tammany",10432150
"G2201050","1970","Louisiana","22","Tangipahoa","105",,,,,,,,,"Tangipahoa",10551400
