GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GB7001
"G4600890","2000","2","4","South Dakota","46","McPherson","089",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"McPherson County",20100
"G4600910","2000","2","4","South Dakota","46","Marshall","091",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Marshall County",41300
"G4600930","2000","2","4","South Dakota","46","Meade","093",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Meade County",82200
"G4600950","2000","2","4","South Dakota","46","Mellette","095",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Mellette County",25800
"G4600970","2000","2","4","South Dakota","46","Miner","097",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Miner County",26500
"G4600990","2000","2","4","South Dakota","46","Minnehaha","099",,,,,,,,,,,,,"7760","9999","9999",,,,,,,,"Minnehaha County",101200
"G4601010","2000","2","4","South Dakota","46","Moody","101",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Moody County",58500
"G4601030","2000","2","4","South Dakota","46","Pennington","103",,,,,,,,,,,,,"6660","9999","9999",,,,,,,,"Pennington County",90900
"G4601050","2000","2","4","South Dakota","46","Perkins","105",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Perkins County",33200
"G4601070","2000","2","4","South Dakota","46","Potter","107",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Potter County",42800
"G4601090","2000","2","4","South Dakota","46","Roberts","109",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Roberts County",43500
"G4601110","2000","2","4","South Dakota","46","Sanborn","111",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Sanborn County",30300
"G4601130","2000","2","4","South Dakota","46","Shannon","113",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Shannon County",25900
"G4601150","2000","2","4","South Dakota","46","Spink","115",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Spink County",34500
"G4601170","2000","2","4","South Dakota","46","Stanley","117",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Stanley County",83900
