GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AB2AA,AB2AAM
G3701450,2008-2012,North Carolina,37,370,Person County,145,1450,"Person County, North Carolina",51510,3677
G3701470,2008-2012,North Carolina,37,370,Pitt County,147,1470,"Pitt County, North Carolina",55149,1386
G3701490,2008-2012,North Carolina,37,370,Polk County,149,1490,"Polk County, North Carolina",50362,5099
G3701510,2008-2012,North Carolina,37,370,Randolph County,151,1510,"Randolph County, North Carolina",50602,1848
G3701530,2008-2012,North Carolina,37,370,Richmond County,153,1530,"Richmond County, North Carolina",40453,4015
G3701550,2008-2012,North Carolina,37,370,Robeson County,155,1550,"Robeson County, North Carolina",35549,1683
G3701570,2008-2012,North Carolina,37,370,Rockingham County,157,1570,"Rockingham County, North Carolina",46911,1913
G3701590,2008-2012,North Carolina,37,370,Rowan County,159,1590,"Rowan County, North Carolina",50888,1698
G3701610,2008-2012,North Carolina,37,370,Rutherford County,161,1610,"Rutherford County, North Carolina",43438,1515
G3701630,2008-2012,North Carolina,37,370,Sampson County,163,1630,"Sampson County, North Carolina",45796,3021
G3701650,2008-2012,North Carolina,37,370,Scotland County,165,1650,"Scotland County, North Carolina",36452,1841
G3701670,2008-2012,North Carolina,37,370,Stanly County,167,1670,"Stanly County, North Carolina",56054,3086
G3701690,2008-2012,North Carolina,37,370,Stokes County,169,1690,"Stokes County, North Carolina",48989,2106
G3701710,2008-2012,North Carolina,37,370,Surry County,171,1710,"Surry County, North Carolina",45518,2703
G3701730,2008-2012,North Carolina,37,370,Swain County,173,1730,"Swain County, North Carolina",54787,6667
G3701750,2008-2012,North Carolina,37,370,Transylvania County,175,1750,"Transylvania County, North Carolina",51374,4405
G3701770,2008-2012,North Carolina,37,370,Tyrrell County,177,1770,"Tyrrell County, North Carolina",39127,11196
G3701790,2008-2012,North Carolina,37,370,Union County,179,1790,"Union County, North Carolina",73203,2279
G3701810,2008-2012,North Carolina,37,370,Vance County,181,1810,"Vance County, North Carolina",42416,2970
G3701830,2008-2012,North Carolina,37,370,Wake County,183,1830,"Wake County, North Carolina",83691,1081
G3701850,2008-2012,North Carolina,37,370,Warren County,185,1850,"Warren County, North Carolina",44347,2628
G3701870,2008-2012,North Carolina,37,370,Washington County,187,1870,"Washington County, North Carolina",41161,4837
G3701890,2008-2012,North Carolina,37,370,Watauga County,189,1890,"Watauga County, North Carolina",60449,2509
G3701910,2008-2012,North Carolina,37,370,Wayne County,191,1910,"Wayne County, North Carolina",50778,1570
G3701930,2008-2012,North Carolina,37,370,Wilkes County,193,1930,"Wilkes County, North Carolina",41049,2027
G3701950,2008-2012,North Carolina,37,370,Wilson County,195,1950,"Wilson County, North Carolina",47647,1573
