GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALY3E001,ALY3E002,ALY3E003,ALY3E004,ALY3E005,ALY3E006,ALY3E007,NAME_M,ALY3M001,ALY3M002,ALY3M003,ALY3M004,ALY3M005,ALY3M006,ALY3M007
"G4900150","2015-2019","UT",,,"Utah","49","Emery County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49015",,,"Emery County, Utah",7423,4203,4198,4040,158,5,3220,"Emery County, Utah",60,156,157,168,59,12,162
"G4900170","2015-2019","UT",,,"Utah","49","Garfield County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49017",,,"Garfield County, Utah",3949,2257,2257,2184,73,0,1692,"Garfield County, Utah",78,155,155,172,43,11,138
"G4900190","2015-2019","UT",,,"Utah","49","Grand County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49019",,,"Grand County, Utah",7842,5494,5494,5208,286,0,2348,"Grand County, Utah",151,295,295,294,129,16,265
"G4900210","2015-2019","UT",,,"Utah","49","Iron County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49021",,,"Iron County, Utah",38258,23699,23679,22635,1044,20,14559,"Iron County, Utah",261,555,558,614,279,24,591
"G4900230","2015-2019","UT",,,"Utah","49","Juab County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49023",,,"Juab County, Utah",7826,5211,5202,5044,158,9,2615,"Juab County, Utah",85,189,192,194,73,14,205
"G4900250","2015-2019","UT",,,"Utah","49","Kane County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49025",,,"Kane County, Utah",5945,3389,3389,3275,114,0,2556,"Kane County, Utah",87,244,244,239,67,16,210
"G4900270","2015-2019","UT",,,"Utah","49","Millard County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49027",,,"Millard County, Utah",9228,5593,5590,5449,141,3,3635,"Millard County, Utah",68,178,178,199,72,4,169
"G4900290","2015-2019","UT",,,"Utah","49","Morgan County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49029",,,"Morgan County, Utah",7932,4939,4939,4822,117,0,2993,"Morgan County, Utah",88,233,233,223,69,18,230
"G4900310","2015-2019","UT",,,"Utah","49","Piute County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49031",,,"Piute County, Utah",1485,648,648,611,37,0,837,"Piute County, Utah",138,97,97,97,16,11,120
"G4900330","2015-2019","UT",,,"Utah","49","Rich County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49033",,,"Rich County, Utah",1786,768,768,754,14,0,1018,"Rich County, Utah",63,86,86,88,11,11,86
"G4900350","2015-2019","UT",,,"Utah","49","Salt Lake County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49035",,,"Salt Lake County, Utah",855951,612574,611762,590125,21637,812,243377,"Salt Lake County, Utah",709,2430,2446,2800,1201,195,2449
"G4900370","2015-2019","UT",,,"Utah","49","San Juan County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49037",,,"San Juan County, Utah",11097,6243,6243,5694,549,0,4854,"San Juan County, Utah",69,267,267,257,100,18,270
"G4900390","2015-2019","UT",,,"Utah","49","Sanpete County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49039",,,"Sanpete County, Utah",23223,12655,12645,11855,790,10,10568,"Sanpete County, Utah",151,539,539,541,156,15,578
"G4900410","2015-2019","UT",,,"Utah","49","Sevier County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49041",,,"Sevier County, Utah",15628,9574,9565,9059,506,9,6054,"Sevier County, Utah",89,278,278,314,133,15,290
"G4900430","2015-2019","UT",,,"Utah","49","Summit County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49043",,,"Summit County, Utah",32163,23256,23230,22839,391,26,8907,"Summit County, Utah",131,420,419,412,106,33,422
"G4900450","2015-2019","UT",,,"Utah","49","Tooele County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49045",,,"Tooele County, Utah",47760,32756,32644,31073,1571,112,15004,"Tooele County, Utah",181,782,779,726,350,59,804
"G4900470","2015-2019","UT",,,"Utah","49","Uintah County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49047",,,"Uintah County, Utah",25417,16266,16231,14911,1320,35,9151,"Uintah County, Utah",146,481,477,565,356,55,483
"G4900490","2015-2019","UT",,,"Utah","49","Utah County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49049",,,"Utah County, Utah",422172,292024,291506,280920,10586,518,130148,"Utah County, Utah",476,1708,1750,1724,617,137,1668
"G4900510","2015-2019","UT",,,"Utah","49","Wasatch County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49051",,,"Wasatch County, Utah",22866,16057,16045,15771,274,12,6809,"Wasatch County, Utah",153,496,498,533,128,19,480
"G4900530","2015-2019","UT",,,"Utah","49","Washington County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49053",,,"Washington County, Utah",126752,71464,71421,68915,2506,43,55288,"Washington County, Utah",343,1435,1428,1444,446,42,1511
"G4900550","2015-2019","UT",,,"Utah","49","Wayne County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49055",,,"Wayne County, Utah",2083,1200,1200,1174,26,0,883,"Wayne County, Utah",47,103,103,100,23,11,100
"G4900570","2015-2019","UT",,,"Utah","49","Weber County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US49057",,,"Weber County, Utah",187154,127482,126939,122290,4649,543,59672,"Weber County, Utah",338,1278,1277,1388,430,173,1266
"G5000010","2015-2019","VT",,,"Vermont","50","Addison County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50001",,,"Addison County, Vermont",31310,21012,20996,20170,826,16,10298,"Addison County, Vermont",84,389,387,449,130,12,384
"G5000030","2015-2019","VT",,,"Vermont","50","Bennington County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50003",,,"Bennington County, Vermont",29649,18023,18023,17366,657,0,11626,"Bennington County, Vermont",160,400,400,413,170,20,389
"G5000050","2015-2019","VT",,,"Vermont","50","Caledonia County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50005",,,"Caledonia County, Vermont",25032,15358,15356,14815,541,2,9674,"Caledonia County, Vermont",85,444,445,475,148,7,452
"G5000070","2015-2019","VT",,,"Vermont","50","Chittenden County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50007",,,"Chittenden County, Vermont",137204,95666,95376,92058,3318,290,41538,"Chittenden County, Vermont",224,1016,1031,1095,437,108,1031
"G5000090","2015-2019","VT",,,"Vermont","50","Essex County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50009",,,"Essex County, Vermont",5233,2911,2911,2798,113,0,2322,"Essex County, Vermont",38,115,115,113,34,13,124
"G5000110","2015-2019","VT",,,"Vermont","50","Franklin County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50011",,,"Franklin County, Vermont",39542,26647,26543,25562,981,104,12895,"Franklin County, Vermont",151,453,451,486,246,71,457
"G5000130","2015-2019","VT",,,"Vermont","50","Grand Isle County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50013",,,"Grand Isle County, Vermont",5934,3832,3826,3664,162,6,2102,"Grand Isle County, Vermont",33,125,125,127,48,9,125
"G5000150","2015-2019","VT",,,"Vermont","50","Lamoille County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50015",,,"Lamoille County, Vermont",20805,14358,14348,13821,527,10,6447,"Lamoille County, Vermont",87,348,349,346,144,12,346
"G5000170","2015-2019","VT",,,"Vermont","50","Orange County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50017",,,"Orange County, Vermont",24220,16086,16086,15483,603,0,8134,"Orange County, Vermont",76,332,332,348,103,17,335
"G5000190","2015-2019","VT",,,"Vermont","50","Orleans County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50019",,,"Orleans County, Vermont",22332,13199,13182,12629,553,17,9133,"Orleans County, Vermont",64,324,324,342,97,13,338
"G5000210","2015-2019","VT",,,"Vermont","50","Rutland County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50021",,,"Rutland County, Vermont",49787,30872,30827,29858,969,45,18915,"Rutland County, Vermont",112,508,508,525,144,34,482
"G5000230","2015-2019","VT",,,"Vermont","50","Washington County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50023",,,"Washington County, Vermont",48602,32205,32149,31131,1018,56,16397,"Washington County, Vermont",114,611,610,671,236,38,609
"G5000250","2015-2019","VT",,,"Vermont","50","Windham County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50025",,,"Windham County, Vermont",36152,22797,22797,21840,957,0,13355,"Windham County, Vermont",103,495,495,534,190,20,511
"G5000270","2015-2019","VT",,,"Vermont","50","Windsor County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US50027",,,"Windsor County, Vermont",46404,28966,28931,27833,1098,35,17438,"Windsor County, Vermont",107,517,524,553,215,38,541
"G5100010","2015-2019","VA",,,"Virginia","51","Accomack County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US51001",,,"Accomack County, Virginia",26556,14416,14238,13681,557,178,12140,"Accomack County, Virginia",133,786,770,738,157,76,759
"G5100030","2015-2019","VA",,,"Virginia","51","Albemarle County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US51003",,,"Albemarle County, Virginia",88029,54668,54353,52965,1388,315,33361,"Albemarle County, Virginia",196,1057,1060,1074,277,112,1051
